"table_name","table_type","table_catalog","table_schema"
"test_store_overviews","BASE TABLE","orders-db","public"
"dim_customer","BASE TABLE","orders-db","public"
"country_region","BASE TABLE","orders-db","public"
"my_store_overviews","BASE TABLE","orders-db","public"
"dim_date","BASE TABLE","orders-db","public"
"dim_product","BASE TABLE","orders-db","public"
"forview","BASE TABLE","orders-db","public"
"new_store_overview","BASE TABLE","orders-db","public"
"test_store_overviews_2","BASE TABLE","orders-db","public"
"dim_store","BASE TABLE","orders-db","public"
"orders","BASE TABLE","orders-db","public"
"my_store_overviewsnew","BASE TABLE","orders-db","public"
"my_store_overviews_2","BASE TABLE","orders-db","public"
"forquerying2","BASE TABLE","orders-db","public"
